iter	MAE
0	781.8354005
1	729.3168075
2	685.7112374
3	648.8774374
4	618.4819614
5	590.600278
6	564.7191424
7	541.4088263
8	521.6834951
9	504.9357165
10	491.6177189
11	479.6195418
12	468.6656835
13	459.1446889
14	451.0329152
15	444.0030203
16	436.9850443
17	431.2142343
18	426.2012094
19	421.7796365
20	418.2555973
21	414.5739455
22	410.4119434
23	406.1584356
24	404.0952587
25	401.0855627
26	398.2908595
27	396.9776981
28	394.4432437
29	392.5606326
30	390.2071236
31	388.5566843
32	386.3469278
33	384.5659174
34	382.9685284
35	381.7924312
36	379.8940208
37	378.7071712
38	377.5593781
39	374.5632874
40	371.6997458
41	369.3539875
42	368.1006368
43	366.9714823
44	365.7936824
45	364.7865525
46	362.7556408
47	361.0856651
48	359.3368997
49	358.0510286
50	356.8913092
51	356.1560327
52	355.2742674
53	354.4956723
54	353.5849926
55	352.4962846
56	351.3531786
57	350.818783
58	350.3159651
59	349.8248197
60	348.8293114
61	347.819615
62	346.8045996
63	345.832458
64	345.1218912
65	344.4690379
66	344.2043161
67	343.7556537
68	343.3983799
69	342.7949733
70	342.2315626
71	341.674758
72	340.8912355
73	340.3123368
74	339.5871695
75	339.581685
76	338.8740133
77	338.4842475
78	337.7423713
79	337.4705371
80	337.1837036
81	336.8225937
82	336.2025032
83	335.379092
84	335.0406071
85	334.356927
86	333.6134155
87	333.3056801
88	332.9185596
89	332.304054
90	331.8137233
91	331.5626784
92	330.852646
93	330.5470887
94	330.2107211
95	329.7840124
96	329.3301117
97	328.7959826
98	328.2569552
99	328.0040923
100	327.2214315
101	326.722301
102	326.0611013
103	326.0529542
104	325.5557851
105	324.7176928
106	324.4238093
107	323.8881438
108	323.0835279
109	322.5122663
110	321.6096228
111	321.0998082
112	319.9868033
113	319.6243041
114	319.2466982
115	318.4329568
116	318.0180073
117	317.3455903
118	317.0585978
119	316.6052451
120	316.170968
121	315.848777
122	315.6160592
123	315.4001144
124	314.973295
125	314.6751184
126	314.2022399
127	313.1280975
128	312.4818053
129	312.1056236
130	311.5167683
131	310.9185234
132	310.578417
133	310.3299948
134	309.8091863
135	309.5595105
136	309.3484366
137	309.0055485
138	308.4076294
139	307.9381505
140	307.4605762
141	307.085301
142	306.4399287
143	305.3991172
144	304.7659636
145	304.1436662
146	303.653784
147	303.2370067
148	302.7976607
149	302.1598188
150	301.8119707
151	301.0277085
152	300.8229883
153	300.4520712
154	300.2098927
155	299.8417695
156	299.3884003
157	298.8608802
158	298.3857017
159	298.0237518
160	297.6542683
161	297.2145558
162	296.8837597
163	296.5939858
164	296.3092007
165	295.925859
166	295.5173731
167	295.2353738
168	294.7120868
169	294.3036171
170	293.9006876
171	293.6549845
172	293.2322685
173	292.8451068
174	292.6087413
175	292.1036226
176	291.8147533
177	291.068903
178	290.7326851
179	290.4144428
180	290.3100493
181	290.2346128
182	289.6641208
183	289.2451437
184	289.0044523
185	288.6934522
186	288.3396351
187	288.0607718
188	287.8184904
189	287.5020956
190	287.1112916
191	286.8497401
192	286.4013127
193	286.1480594
194	285.8288935
195	285.517117
196	285.440802
197	284.9749066
198	284.7721583
199	284.3202384
200	284.0960045
201	283.7231731
202	283.4242602
203	283.1336117
204	282.9701311
205	282.6792435
206	282.347736
207	281.7963019
208	281.6289848
209	281.3586129
210	281.1260395
211	280.8839904
212	280.6991632
213	280.3807481
214	280.2481044
215	280.1217117
216	279.8129964
217	279.4475981
218	279.0832401
219	278.5616931
220	278.2489574
221	277.7837234
222	277.3577949
223	277.0205207
224	276.7323467
225	276.533582
226	276.2973849
227	276.1365164
228	276.036298
229	275.7475493
230	275.524866
231	275.4231746
232	275.0893945
233	274.7711744
234	274.3628057
235	273.7815685
236	273.6021888
237	273.2100654
238	273.0617142
239	272.9337236
240	272.767328
241	272.4259288
242	272.3360961
243	272.0477674
244	271.7819272
245	271.2555767
246	271.128594
247	270.8159199
248	270.6650597
249	270.3703314
250	270.2508988
251	269.97819
252	269.5973127
253	269.4376528
254	269.2861252
255	269.0762982
256	269.0057922
257	268.8056577
258	268.6831072
259	268.5510376
260	268.2804981
261	268.0726216
262	267.9760826
263	267.6890998
