,Start,End,Duration
96,1537185.134,1537412.625,227.49099999992177
97,1517304.056,1540350.207,23046.150999999838
98,1517308.1,1537520.127,20212.027000000002
99,1517399.806,1520997.647,3597.841000000015
100,1517402.34,1521169.644,3767.3040000000037
101,1517481.924,1544583.789,27101.86499999999
102,1517482.459,1540609.416,23126.956999999937
103,1517484.193,1546259.586,28775.392999999924
104,1517487.057,1539140.791,21653.73399999994
105,1517498.996,1539852.832,22353.835999999894
106,1517822.784,1539745.404,21922.62000000011
107,1517824.67,1539745.408,21920.73800000013
108,1517831.929,1544526.679,26694.75
109,1517835.402,1538563.471,20728.0689999999
110,1517912.944,1539831.815,21918.871000000043
111,1517918.918,1542078.178,24159.26000000001
112,1517920.001,1539831.821,21911.820000000065
113,1518179.571,1537412.629,19233.05799999996
114,1518429.046,1539345.391,20916.344999999972
115,1518430.995,1548299.394,29868.398999999976
116,1518440.886,1537239.822,18798.935999999987
117,1518449.108,1540350.211,21901.102999999886
118,1518608.337,1540803.744,22195.40699999989
119,1532535.311,1550199.809,17664.497999999905
120,1518611.839,1550573.441,31961.602000000188
121,1518614.227,1521516.26,2902.033000000054
122,1533734.574,1536807.888,3073.314000000013
123,1518775.929,1539313.635,20537.706000000006
124,1518783.454,1540004.657,21221.20299999998
125,1518791.048,1539745.412,20954.36400000006
126,1519038.119,1536894.264,17856.14500000002
127,1519062.645,1547521.382,28458.736999999965
128,1538555.089,1543430.705,4875.616000000155
129,1519151.562,1549886.01,30734.44800000009
130,1546009.531,1546311.778,302.2469999999739
131,1519211.85,1538017.437,18805.586999999825
132,1519220.895,1524825.6,5604.7050000000745
133,1547824.551,1548299.399,474.84799999999814
134,1519302.779,1547715.811,28413.03199999989
135,1519321.214,1536635.031,17313.81700000004
136,1519375.095,1536980.684,17605.58899999992
137,1540483.712,1540868.583,384.87100000004284
138,1534169.762,1536980.688,2810.9259999999776
139,1539362.311,1540263.796,901.4850000001024
140,1519640.2,1543460.603,23820.402999999933
141,1519651.376,1537344.757,17693.381000000052
142,1540481.539,1549622.114,9140.574999999953
143,1519730.314,1540458.273,20727.95900000003
144,1519749.067,1547717.34,27968.273000000045
145,1519819.209,1540350.215,20531.006000000052
146,1541498.786,1542683.39,1184.6039999998175
147,1519907.308,1536894.27,16986.962000000058
148,1519913.867,1536591.585,16677.717999999877
149,1519930.0,1543893.093,23963.09300000011
150,1520001.967,1536635.045,16633.07799999998
151,1519995.804,1539400.047,19404.243000000017
152,1519995.132,1542705.548,22710.41599999997
153,1520245.359,1536831.089,16585.72999999998
154,1520246.052,1546311.783,26065.731000000145
155,1520252.541,1542102.904,21850.36300000013
156,1520330.981,1543460.614,23129.633000000147
157,1524473.761,1542881.896,18408.13500000001
158,1520411.703,1547607.797,27196.09400000004
159,1520412.056,1545040.212,24628.15599999996
160,1520417.227,1536591.461,16174.233999999939
161,1534766.251,1536807.897,2041.6460000001825
162,1539787.968,1542683.394,2895.4259999999776
163,1520433.87,1536635.05,16201.179999999935
164,1520441.983,1547635.131,27193.148000000045
165,1520589.959,1539659.0,19069.04099999997
166,1520852.247,1522380.418,1528.1710000000894
